recno,Name,B-V,Nobs,S,logRHK,Prot,logA,sRV1,sRV2,OCat,SimbadName,_RA,_DE
83,18754,0.736,6,0.134,-5.19,,10.02,2.0,4.3,0,"HD 18754  ",44.71309,-52.09598
93,19916,0.585,7,0.137,-5.15,,9.97,2.2,2.6,0,"HD 19916  ",47.5166,-50.83238
88,19330,0.566,8,0.181,-4.84,13,9.59,2.9,4.7,0,"HD 19330  ",46.1381,-51.3221
157,38683,0.571,3,0.18,-4.85,13,9.6,2.9,3.8,0,"HD 38683  ",86.05675,-55.69549
153,37761,0.764,4,0.125,-5.27,,10.12,2.0,4.3,0,"HD 37761  ",84.45115,-54.56423
145,33873,0.704,3,0.242,-4.69,20,9.28,2.5,5.8,0,"HD 33873  ",77.64199,-51.30146
133,30278,0.746,10,0.155,-5.05,,9.88,2.1,2.1,1,"HD 30278  ",70.80702,-54.59343
165,40105,0.891,8,0.137,-5.17,,10.0,2.0,4.3,1,"HD 40105  ",88.54506,-50.36255
156,38459,0.861,1,0.471,-4.46,13,8.66,3.6,9.3,1,"HD 38459  ",85.86023,-47.82298
154,37706,0.769,8,0.186,-4.92,36,9.7,2.3,2.1,1,"HD 37706  ",84.53913,-46.10604
137,31392,0.792,10,0.27,-4.69,25,9.27,2.7,4.9,2,"HD 31392  ",73.51754,-35.40452
146,33822,0.708,8,0.141,-5.14,,9.95,2.1,2.1,1,"HD 33822  ",77.87299,-33.88066
117,26071,0.742,16,0.152,-5.07,,9.9,2.1,2.6,0,"HD 26071  ",61.50519,-38.99703
96,20407,0.586,12,0.151,-5.04,,9.87,2.4,2.6,1,"HD 20407  ",48.77662,-45.66482
106,22323,0.401,5,0.222,-4.66,2,9.21,3.1,16.0,0,"HD 22323  ",53.51856,-41.33863
109,23576,0.587,6,0.141,-5.12,,9.92,2.2,2.6,0,"HD 23576  ",56.18926,-38.81803
104,21938,0.591,6,0.143,-5.11,,9.91,2.2,2.6,1,"HD 21938  ",52.70976,-37.37229
132,29813,0.621,4,0.153,-5.03,,9.86,2.4,2.4,0,"HD 29813  ",70.1768,-28.20124
134,30669,0.795,12,0.159,-5.04,,9.87,2.1,2.1,0,"HD 30669  ",72.11869,-28.4193
123,27905,0.627,3,0.15,-5.06,,9.89,2.3,2.4,0,"HD 27905  ",65.83401,-25.395
15,3222,0.854,7,0.189,-4.95,44,9.75,2.2,2.1,1,"HD 3222   ",8.76171,-63.69513
22,6107,0.65,8,0.143,-5.12,,9.93,2.2,2.4,0,"HD 6107   ",15.3293,-60.86015
56,11754,0.682,6,0.137,-5.17,,9.99,2.1,2.6,0,"HD 11754  ",28.4536,-54.76065
25,6236,0.591,4,0.146,-5.08,,9.91,2.3,2.6,0,"HD 6236   ",15.68334,-47.28758
64,13724,0.667,8,0.205,-4.79,21,9.48,3.3,4.5,0,"HD 13724  ",33.08616,-46.81639
72,15507,0.67,5,0.161,-5.0,29,9.82,2.5,2.2,0,"HD 15507  ",37.12028,-45.02294
