recno,Name,HIP,B-V,SHK,Jitter,logRHK,dMag,Prot,Age,Obs,SimbadName,_RA,_DE
1761,"HD 131580 ",72809,0.731,0.151,2.196,-5.07,0.82,,7.91,K,HD 131580,223.22447,46.15439
1859,"HD 142626 ",77790,0.835,0.302,2.931,-4.659,0.0,25,1.6,K,HD 142626,238.26866,53.87104
1839,"HD 140296 ",76757,0.605,0.247,4.281,-4.617,0.12,10,1.26,K,HD 140296,235.09528,54.95969
1766,"HD 132142 ",73005,0.79,0.179,2.337,-4.95,-0.2,40,5.67,K,HD 132142,223.79601,53.68035
1782,"HD 134319 ",73869,0.64,0.502,8.691,-4.216,-0.4,3,0.06,K,HD 134319,226.45792,64.04721
1907,"HD 148238 ",80284,0.649,0.161,2.79,-4.984,0.43,26,6.31,K,HD 148238,245.83716,58.71396
1991,"HD 156279 ",84171,0.801,0.173,2.306,-4.98,0.34,42,6.23,K,HD 156279,258.09668,63.35209
2022,"HD 158633 ",85235,0.76,0.174,2.31,-4.959,-0.4,38,5.84,K,HD 158633,261.25041,67.30671
1945,"HD 151541 ",81813,0.76,0.163,2.258,-5.01,-0.1,,6.8,K,HD 151541,250.66073,68.10217
2046,"HD 161897 ",86540,0.72,0.219,2.528,-4.767,0.0,24,2.76,K,HD 161897,265.27791,72.42034
1895,"HD 147231 ",79619,0.63,0.166,2.876,-4.949,-0.1,23,5.65,K,HD 147231,243.70937,70.92966
1627,"HD 117043 ",65530,0.739,0.161,2.245,-5.016,0.47,,6.9,L,HD 117043,201.49941,63.26128
1639,"HD 117623 ",65846,0.792,0.203,4.469,-4.863,4.67,35,4.15,K,HD 117623,202.47028,64.18051
1738,"HD 129333 ",71631,0.59,0.695,12.04,-4.016,-0.5,1,0.0,K,HD 129333,219.7509,64.29162
1578,"HD 112337 ",63029,0.721,0.147,2.173,-5.096,1.16,,8.38,K,HD 112337,193.73797,63.92724
1481,"HD 104860 ",58876,0.596,0.371,6.428,-4.356,0.0,3,0.21,K,HD 104860,181.14055,66.33659
1788,"HD 135143 ",74092,0.602,0.183,3.17,-4.85,0.01,16,3.95,K,HD 135143,227.12654,72.36934
1935,"HD 150706 ",80902,0.568,0.309,5.381,-4.45,-0.5,4,0.43,K,HD 150706,247.82327,79.78978
1473,"HD 104389 ",58619,0.607,0.202,3.512,-4.765,0.0,15,2.74,K,HD 104389,180.31677,79.08743
1834,"HD 139813 ",75829,0.79,0.463,3.731,-4.388,0.0,8,0.27,K,HD 139813,232.34831,80.45027
1733,"HD 128642 ",70857,0.774,0.24,2.638,-4.742,0.1,27,2.46,K,HD 128642,217.3429,80.80985
2342,"HD 200565 ",103983,0.63,0.221,3.823,-4.71,0.26,15,2.09,K,HD 200565,316.02373,3.98068
2349,"HD 201219 ",104318,0.669,0.286,4.95,-4.559,-0.3,12,0.89,K,HD 201219,316.9855,7.43294
2368,"HD 203473 ",105521,0.663,0.155,2.679,-5.03,0.62,,7.16,K,HD 203473,320.57864,5.0236
2377,"HD 205356 ",106519,0.581,0.225,3.923,-4.67,0.61,10,1.7,K,HD 205356,323.62393,9.49969
2314,"HD 198060 ",102595,0.71,0.175,4.339,-4.931,2.76,31,5.33,K,HD 198060,311.87483,9.86436
2303,"HD 196755 ",101916,0.702,0.153,4.25,-5.05,2.43,,7.54,L,HD 196755,309.78243,10.0862
