main_id,ra,dec,hd,gj,hip,wds,sp_type,sp_bibcode,plx_value,plx_err,plx_bibcode,v,v_err,v_bibcode,g,g_err,g_bibcode,i,i_err,i_bibcode,r,r_err,r_bibcode
Wolf 1466,280.07432831443464,-10.465326213524166,,GJ   723,HIP  91557,,M1,2014MNRAS.443.2561G,56.3274,0.0474,2018yCat.1345....0G,11.353,0.01,2012yCat.1322....0Z,10.6382,6.0E-4,2018yCat.1345....0G,,,,11.192,0.1,2012yCat.1322....0Z
G 125-23,294.6822391816598,33.1932535995496,,,,,M4,2004AJ....128..463R,56.2044,0.0406,2018yCat.1345....0G,13.905,0.01,2012yCat.1322....0Z,12.5845,4.0E-4,2018yCat.1345....0G,10.6,,2003AJ....125..984M,13.538,0.07,2012yCat.1322....0Z
BD+05   127,14.4356330165089,5.855727641653,,,,,M0.0Ve,2013AJ....145..102L,56.1889,0.0684,2018yCat.1345....0G,10.254,0.04,2012yCat.1322....0Z,9.5589,5.0E-4,2018yCat.1345....0G,,,,9.832,0.04,2012yCat.1322....0Z
CD-24  6144,118.5453448788114,-25.3031723868941,,,HIP  38594,,M0,2014MNRAS.443.2561G,56.1868,0.0297,2018yCat.1345....0G,9.715,,2010MNRAS.403.1949K,9.0853,3.0E-4,2018yCat.1345....0G,8.029,,2010MNRAS.403.1949K,8.845,,2010MNRAS.403.1949K
Ross  226,343.58959512412326,60.99544948149778,,GJ   878,,,M3V,2014AJ....147...20N,56.1633,0.039,2018yCat.1345....0G,12.78,,2004AJ....128..463R,11.6038,6.0E-4,2018yCat.1345....0G,10.22,,2004AJ....128..463R,11.65,,2004AJ....128..463R
BD-06  6318,358.9157583951831,-6.1425985647904,,GJ   912,HIP 117966,,M2.5Vk,2006AJ....132..161G,56.1438,0.0964,2018yCat.1345....0G,11.158,,2010MNRAS.403.1949K,10.1368,8.0E-4,2018yCat.1345....0G,8.872,,2010MNRAS.403.1949K,10.127,,2010MNRAS.403.1949K
GJ  3765,197.2317521660636,49.0803993181275,,GJ  3765,,,M0,1986AJ.....91..144S,56.1079,0.0323,2018yCat.1345....0G,11.0,0.04,2012yCat.1322....0Z,10.2138,6.0E-4,2018yCat.1345....0G,,,,10.537,0.02,2012yCat.1322....0Z
LSPM J1437+7536N,219.28848373813207,75.61583334223305,,,,WDS J14372+7537A,M2.0Ve,2013AJ....145..102L,56.1053,0.0195,2018yCat.1345....0G,11.84,0.16,2002A&A...384..180F,11.1569,4.0E-4,2018yCat.1345....0G,,,,11.653,0.05,2012yCat.1322....0Z
G   9-11,129.2831589360513,15.1293127099701,,GJ  3508,HIP  42267,,M3.0Ve,2013AJ....145..102L,56.1032,0.0594,2018yCat.1345....0G,11.749,,2010MNRAS.403.1949K,10.734,6.0E-4,2018yCat.1345....0G,9.403,,2010MNRAS.403.1949K,10.722,,2010MNRAS.403.1949K
G  31-39,4.2345690807032,5.1240006589338,,GJ  1007,,,M4V,2014AJ....147...20N,56.0716,0.0921,2018yCat.1345....0G,13.761,0.1,2012yCat.1322....0Z,12.3978,5.0E-4,2018yCat.1345....0G,10.6,,2003AJ....125..984M,13.466,0.11,2012yCat.1322....0Z
G 172-15,9.6411451815536,51.4660750808271,,GJ  3045,,,M3.0Ve,2013AJ....145..102L,56.028,0.086,2018yCat.1345....0G,12.619,0.05,2012yCat.1322....0Z,11.4904,0.0014,2018yCat.1345....0G,10.085,0.075,2006PASP..118.1666D,12.128,0.04,2012yCat.1322....0Z
LP  390-16,273.2773814635423,26.0310717966741,,GJ  4044,,,M4.0V,2015A&A...577A.128A,56.0098,0.0437,2018yCat.1345....0G,12.77,,2007A&A...467..785N,11.9266,0.001,2018yCat.1345....0G,10.4,,2003AJ....125..984M,12.97,0.07,2012yCat.1322....0Z
